,judul,tanggal_berita,paragraf,tanggal_scraped
0,"Ada Ketidakpastian Global, Ini 4 Isu yang Harus Dicermati Investor","26/07/2019, 10:20 WIB","Kondisi  pasar finansial masih begitu dinamis. Hal ini terkait dengan ramainya isu perang dagang antara China dan AS. Investment Specialist PT Manulife Asset Manajement Indonesia Dimas Ardhinugraha dalam laporannya, Jumat (26/7/2019) menuturkan, dalam kondisi seperti saat ini,  investor di pasar finansial mengalami kesulitan untuk menentukan arah investasinya. Untuk itu, dia menyarankan agar investor memfokuskan diri pada beberapa poin sebagai berikut. Saat ini beberapa indikator ekonomi global seperti data manufaktur, data pesanan ekspor dan data perdagangan global melemah. Dalam hal ini, ada dua faktor yang mempengaruhi.
Faktor utamanya yakni, ketidakpastian perang dagang yang menyebabkan investor dan perusahaan-perusahaan menunda investasi. Faktor kedua, dilihat dari efek negatif yang ditimbulkan akibat  bank sentral yang menaikkan suku bunga secara gobal pada tahun lalu.
  Bank Sentral AS dan Bank Sentral Eropa beranjak lebih akomodatif untuk mendukung perekonomian secara global pada bulan kemarin. Dengan hal tersebut, tidak menutup kemungkinan akan terjadi penurunan suku bunga atau melakukan stimulus kebijakan-kebijakan lain untuk mendorong pertumbuhan ekonomi global.  “Bank sentral negara Asia, seperti di India, Filipina, Malaysia, dan juga Australia, sudah mulai menurunkan suku bunganya. Oleh karena itu, menurut kami ini bisa menjadi suatu poin untuk memitigasi pelemahan ekonomi global yang terjadi saat ini,” ujar Dhimas.",2019-08-31
1,5 Langkah Membangun Masa Depan Finansial yang Sukses,"25/07/2019, 11:06 WIB","- Rencana keuangan yang baik bukan hanya tentang berinvestasi pada instrumen yang tepat dan memantau kemajuan rencana tersebut. Namun lebih dari itu, juga soal pengetahuan keuangan dan tindakan pencegahan yang dapat membantu Anda mendapatkan keuntungan yang lebih tinggi. Berikut lima langkah untuk membangun masa depan  finansial yang sukses seperti dikutip dari Etnownews.com:
1. Ketahui fakta bagaimana Anda menghabiskan uang.
Ini dapat dilihat dengan memeriksa pengeluaran mulai sewa, transpotasi dan bahan makanan.  Untuk memahami pengeluaran Anda, awasi setiap transaksi selama beberapa bulan. Disarankan setelah mencermati pengeluaran Anda, alokasikan anggaran untuk masing-masing pengeluaran tersebut.
2. Buat bagan pengeluaran yang lebih besar 
Bila Anda merencanakan pengeluaran yang besar seperti itu, mulailah menabung sejumlah uang pada awal bulan di rekening tabungan agar bisa merealisasikan rencana besar tersebut.Namun bila Anda lebih suka membayarnya secara kredit, upayakan pembayaran tagihan secara penuh sebelun tanggal jatuh tempo setiap bulan untuk menghindari denda yang akan menambah pengeluaran.

3. Membuat dana darurat adalah salah satu bagian terpenting dari perencanaan keuangan.
Ini harus selalu dijadikan prioritas karena sangat berguna bisa terjadi kondisi yang tidak terduga tanpa berutang  Misalnya darurat medis akibat kecelakaan atau penyakit tertentu, kehilangan pekerjaan, hingga kerusakan kendaraan.
4. Proyeksikan 8 hingga 10 persen dari penghasilan untuk pengeluaran yang tidak terkontrol.
Dana itu bisa digunakan untuk kepentingan hiburan, misalnya saja menonton tiket konser. Tetapi pastikan Anda tidak mendanai keinginan itu dengan meminjam atau menggesek kartu kredit.
5. Membeli asuransi jiwa dan kesehatan dengan premi murah di usia dini.
Penting juga membeli satu di awal karir Anda. Saat berinvestasi dan membangun aset, orang sering lupa untuk menutupi risiko mereka. Sangat penting untuk menciptakan portofolio asuransi yang memadai untuk mengamankan keluarga Anda.  Sesuaikan jumlah pertanggungan asuransi tergantung pada usia, pendapatan, tanggungan, dan persyaratan yang bisa dipenuhi",2019-08-31
2,"Ingin Tahu Berapa Kekayaan Anda, Begini Cara Menghitungnya","18/07/2019, 12:47 WIB","Menghitung jumlah  kekayaan bukan hanya hak bagi orang-orang tajir atau bahkan miliarder. Anda yang secara  finansial biasa-biasa saja atau menengah pun bisa menghitung kekayaan.
Nah, ternyata menghitung kekayaan bukanlah perkara sulit. Ada penghitungan sederhana yang bisa Anda lakukan guna mengetahui seberapa banyak kekayaan yang Anda miliki.
Namun demikian, tidak sedikit orang yang enggan menghitung kekayaannya. Padahal, sikap itu adalah sikap yang salah.
""(Menghitung kekayaan) adalah gambaran pertama terhadap keseluruhan finansial Anda,"" kata Michael LaRiviere, perencana keuangan bersertifikat di Essex Financial seperti dikutip dari CNBC, Kamis (18/7/2019).

 Kekayaan bersih Anda adalah total nilai dari seluruh  aset yang Anda miliki, termasuk uang tunai,  tabungan,  dana pensiun, deposito, rumah, kendaraan bermotor, investasi, termasuk juga benda-benda berharga seperti perhiasan dan benda seni dikurangi beban atau utang jangka panjang, seperti misal  kredit rumah, kredit konsumsi, saldo kartu kredit, serta pinjaman-pinjaman pribadi lainnya.
""Kerap kali, khususnya bagi mereka yang berusia 40 tahun ke bawah, angkanya akan negatif. Ini bukan hal yang tidak biasa dan bukan sesuatu yang harus ditakuti,"" ujar Daniel Routh, perencana keuangan bersertifikat di Old Peak Finance.
Jika kekayaan bersih Anda berada di zona merah alias minus, maka Anda harus menabung lebih banyak dan mengurangi belanja. Anda bisa mulai dengan memangkas pinjaman dengan bunga paling tinggi, semisal kredit konsumer atau kartu kredit.

Setelah itu, mulailah membangun kekayaan dengan menabung. Anda juga perlu memiliki tabungan pensiun agar ketika Anda tak lagi bekerja nanti, keuangan Anda tidak terganggu.
Apabila perusahaan tempat Anda bekerja menyediakan fasilitas dana pensiun yang dipotong dari gaji selama Anda bekerja, maka tidak ada salahnya pula Anda secara pribadi menabung untuk hari tua.",2019-08-31
3,"Baru Lulus dan Gaji Rp 8 Juta, Jangan Lupa Beli Rumah","28/07/2019, 17:52 WIB","Anda para lulusan baru alias  fresh graduate dan telah memperoleh pekerjaan dengan  gaji yang cukup, ada baiknya mulai memikirkan untuk  membeli rumah. Anda bisa memanfaatkan fasilitas kredit pemilikan rumah (KPR).
KPR disediakan oleh perbankan, baik bank konvensional maupun syariah tentunya jika mereka sudah minimal 2 tahun bekerja.
Head of Marketing Rumah.com Ike Hamdan menyatakan bagi para konsumen yang ingin membeli rumah, saat ini adalah kondisi termudah untuk membelinya. Hal ini dikarenakan adanya berbagai kebijakan pemerintah yang memudahkan kepemilikan rumah sehingga menjadi lebih fleksibel.

Selama ini, kendala utama untuk membeli rumah adalah masalah uang muka atau Down Payment. Dengan aturan LTV yang memudahkan, apa lagi suku bunga acuan yang telah diturunkan oleh Bank Indonesia, kendala-kendala tersebut sudah seharusnya teratasi.
""Ketika masih menjadi fresh graduate dan baru memulai bekerja, ada baiknya untuk mulai memikirkan untuk membeli rumah. Karena di masa muda, ketika masih lajang atau belum punya anak, beban keuangan belum terlalu besar,"" ujar Ike dalam keterangannya, Minggu (28/7/2019).
Berbeda halnya ketika sudah menikah apalagi jika punya anak, kebutuhan  finansial akan semakin besar. Jika ditambah dengan biaya cicilan rumah, beban finansial itu akan semakin besar. Sehingga, imbuh Ike, kebutuhan membeli rumah akhirnya dikorbankan dan mengandalkan tinggal bersama di rumah orang tua.

Kondisi ini selaras dengan hasil survei Rumah.com Property Affordability Sentiment Index H1-2019, dimana generasi muda memiliki minat paling besar untuk membeli properti. Sebanyak 71 persen responden yang berusia 21-29 tahun, di mana kemungkinan besar mereka adalah para fresh graduate yang baru mulai bekerja.
Sementara responden pada kelompok usia 30-39 tahun menempati posisi kedua dengan persentase sebesar 60 persen.
Menurut Ike, generasi Z dan milenial memang paling bersemangat membeli properti, namun mereka masih memiliki pengalaman dan informasi yang minim. Pengembang dapat memberikan bantuan informasi hingga pengurusan pengajuan KPR.
Sesuaikan strategi pemasaran dengan karakter milenial yang dinamis, technology-minded, dan menyukai desain yang unik.",2019-08-31
4,"Pengantin Baru, Jangan Lakukan 5 Kesalahan Keuangan Ini","22/06/2019, 08:36 WIB","Selamat untuk Anda dan pasangan yang baru saja mengarungi bahtera  pernikahan.  Menikah sama dengan menggabungkan dua kehidupan yang berbeda, termasuk  keuangan.
Namun demikian, menggabungkan kondisi keuangan Anda dan pasangan tak selalu mudah dilakukan. Apalagi jika Anda merupakan pasangan pengantin baru yang masih melakukan penyesuaian.
Dikutip dari The Balance, Sabtu (22/6/2019), banyak pasangan tidak melihat kondisi keuangan masing-masing ketika awal menjalin hubungan. Sehingga, ketika kedua kondisi keuangan digabungkan, ada banyak perbedaan pandangan dan emosi bisa memanas.

Oleh karena itu, setidaknya ada 5 kesalahan keuangan yang harus Anda dan pasangan hindari sebagai pengantin baru.

Ingat, penting bagi Anda dan pasangan untuk memiliki rencana keuangan jangka panjang. Ini termasuk tujuan pensiun, kepemilikan rumah, dan mulai membangun keluarga.
Duduk bersama dan bicarakan tentang hal-hal ini sebaiknya sebelum  menikah. Diskusikan tujuan-tujuan  finansial Anda, linimasa yang Anda patok,  anggaran, dan permasalahan-permasalahan yang Anda hadapi.

Kesalahan finansial umum lainnya yang kerap dilakukan pengantin baru adalah 'buta finansial' ketika menikah. Maksudnya, Anda tak pernah berdiskusi dengan pasangan terkait tujuan finansial, penghasilan, atau  utang Anda.
Setelah bertunangan, diskusilah dengan pasangan terkait jumlah tabungan saat ini, besaran utang saat ini, tagihan, atau kewajiban finansial lainnya yang Anda atau pasangan miliki. Informasi-informasi ini akan berguna ketika Anda menikah.
Yang terpenting, informasi ini akan sangat bermanfaat ketika nantinya keuangan Anda dan pasangan digabungkan di bawah payung pernikahan.


Banyak orang yang berbohong soal kondisi keuangan kepada pasangan. Ada juga gurauan soal menyembunyikan tas belanja sebelum pasangan pulang dari kantor.
Ingatlah bahwa berbohong pada pasangan akan menciptakan bencana keuangan dalam hubungan pernikahan Anda. Pastikan Anda dan pasangan jujur dalam hal keuangan dan saling terbuka tentang situasi finansial saat ini.

Anda pasti tak mau memulai kehidupan pernikahan dengan menimbun utang. Oleh karena itu, jangan gunakan kartu kredit atau utang untuk membiayai pernikahan dan bulan madu.
Meski artinya Anda harus berhemat, akan lebih baik jika Anda tidak memiliki kewajiban melunasi utang selama beberapa bulan atau tahun setelah menikah.
Dengan mencari promo dan merencanakan dengan baik, Anda masih bisa menggelar acara pernikahan dengan anggaran yang wajar. Anda juga bisa mendapat beragam promo menarik untuk bulan madu jika direncanakan sejak jauh-jauh hari.


 Anggaran adalah kunci kesuksesan finansial. Tidak peduli berapa penghasilan Anda, Anda bisa saja runyam dalam hal keuangan jika tak menyusun anggaran.
Jika Anda dan pasangan tidak mau duduk bersama dan menyusun anggaran bersama, maka Anda tidak akan sukses secara finansial. Penting untuk diingat bahwa dalam menyusun anggaran, perlu ada saling memberi dan menerima.
Anda dan pasangan bisa saja memiliki prioritas keuangan yang berbeda.  Keuangan dan anggaran harus dikelola secara seimbang.
Anda harus bekerja sama dengan pasangan untuk menciptakan anggaran yang sesuai untuk keluarga Anda. Jika kesulitan, jangan ragu berkonsultasi pada perencana keuangan.",2019-08-31
5,"SMF dan Kemenpar Tandatangani Dukungan Pembiayaan ""Homestay"" di 10 DPP","10/07/2019, 13:29 WIB","PT Sarana Multigriya Finansial (Persero) atau SMF dan  Kementerian Pariwisata menjalin kerja sama sinergis dalam pengembangan pondok wisata (homestay) di 10 Destinasi Pariwisata Prioritas (DPP).
Penandatanganan kerja sama ini dilakukan Asisten Deputi Investasi Pariwisata, Deputi Bidang Pengembangan Destinasi Pariwisata Kementerian Pariwisata Henky Manurung dan Direktur Manajemen Risiko dan Operasional SMF Trisnadi Yulrisman, di Kantor Kementerian Pariwisata, Jakarta, Rabu (10/7/2019).
Sinergi ini sebagai bentuk tindak lanjut dari nota kesepahaman antara Kementerian Pariwisata dengan SMF, pada 27 September 2018.
Perjanjian kerja sama ini melingkupi 5 hal yaitu, pertama fasilitas dan koordinasi terkait dengan kebijakan yang dibutuhkan oleh kedua belah pihak dalam melaksanakan pembiayaan pembangunan homestay di 10 Destinasi Pariwisata Prioritas.

Kedua, pertukaran data dan informasi yang dibutuhkan. Ketiga, pembiayaan homestay di 10 DPP meliputi antara lain pendanaan dan pemberdayaan lembaga penyalur.
Keempat, pelaksanaan regulasi, profiling, promosi dan advokasi investasi di 10 DPP. Kelima monitoring dan evaluasi dalam rangka pertumbuhan pembangunan homestay.
Adapun 10 DPP tersebut yakni, Danau Toba, Tanjung Kelayang, Kepulauan Seribu, Tanjung Lesung, Candi Borobudur, Bromo Tengger Semeru, Morotai, Wakatobi, Labuan Bajo dan Mandalika (Lombok).
Dalam kerja sama ini SMF berperan sebagai pemberi pembiayaan homestay kepada masyarakat di Desa/Lokasi Wisata melalui Lembaga Penyalur dan pemberdayaan Lembaga Penyalur pada area DPP.
Melengkapi peran tersebut, SMF berkoordinasi dengan Kementerian Pariwisata, melakukan pendampingan kepada Lembaga Penyalur dalam rangka capacity building dan peningkatan peran serta masyarakat setempat. 
Program ini selaras dengan harapan  Presiden Republik Indonesia Joko Widodo (Jokowi) agar pariwisata Indonesia dapat terus diperkuat dan dikembangkan menjadi sektor strategis dan pilar pembangunan perekonomian nasional.",2019-08-31
6,Organisasi Pengembang Filipina Kaji Industri Perumahan Indonesia,"27/06/2019, 16:00 WIB","- Organisasi pengembang perumahan Filipina atau Organization of Socialied and Economic Housing Developers, Inc (OSHDP) melakukan studi banding mengenai industri pembiayaan perumahan di Indonesia.
Kerja sama ini dilakukan dengan PT. Sarana Multigriya Finansial (Persero) atau SMF. Direktur Sekuritisasi dan Pembiayaan SMF, Heliantopo mengatakan, kerja sama ini diharapkan menjadi langkah awal dan dasar dalam melakukan kerja sama, penelitian, berbagai informasi dan pengetahun yang berkaitan dengan pembiayaan perumahan.
""Pada posisinya, SMF sebagai satu-satunya lembaga/BUMN yang bergerak dalam hal secondary mortgage selalu siap untuk merajut sinergi dengan berbagai pihak untuk mengakselerasi pengembangan pasar pembiayaan perumahan, khususnya di Indonesia,"" ujar Heliantopo dalam keterangan tertulis yang diterima Kompas.com, Kamis (27/6/2019).

Dia menambahkan, selama ini Indonesia dan Filipina melalui SMF dan National Home Mortgage Finance Corporation (NHMFC) membangun hubungan baik, terlebih kedua lembaga ini merupakan anggota Asian Secondary Mortgage Association (ASMMA).
""Kami mempunyai fokus pada negara-negara dengan bisnis pengembangan hunian untuk publik. Tahun ini kami mengindentifikasi bahwa Indonesia merupakan negara dengan pengembangan hunian publik yang menarik untuk dikaji,"" ucap National President of OSHDP, Jefferson Bongat.
Selain itu, Jefferson mengungkapkan, pihaknya ingin mengetahui pasar real estat dan perumahan di Jakarta, mulai dari mekanisme keuangan, kebijakan Pemerintah, serta regulasi dan inovasi dalam pengembangan perumahan.
Untuk itu, Heliantopo memaparkan, Kredit Pemilikan Rumah masih menjadi pilihan utama masyarakat Indonesia dalam memiliki hunian.
Dia menambahkan, selama kuartal I-2019, persentase kepemilikan rumah melalui KPR mencapai angka 74,2 persen.
Lebih tinggi dibandingkan pemilikan secara tunai bertahap sebesar 17,3 persen, dan tunai sebesar 8,5 persen.
Adapun backlog kepemilikan rumah Indonesia tahun 2017 didominasi oleh backlog kepemilikan yang mencapai 13,7 juta rumah dibanding kepenghunian sebesar 6,4 juta.",2019-08-31
7,"Bicarakan Keuangan dengan Pasangan Tanpa Bertengkar, Ini 4 Caranya","21/06/2019, 09:24 WIB","Membicarakan masalah  keuangan, termasuk dengan  pasangan, kerap dipandang sulit untuk dilakukan. Bahkan, para psikolog mengungkapkan, orang cenderung pilih berbicara tentang topik apapun selain uang.
Dilansir dari The Balance, Jumat (21/6/2019), sebuah studi pernah mengestimasikan bahwa isu keuangan mendorong 90 persen kasus perceraian. Namun, sebenarnya Anda bisa dengan nyaman membicarakan keuangan dengan pasangan Anda.

Jean Chatzky, penulis buku Talking Money, memberikan sejumlah tips agar Anda sukses membicarakan keuangan dengan pasangan tanpa bertengkar. Berikut ini uraiannya.

Jangan membicarakan masalah keuangan apabila pasangan Anda misalnya sedang mengalami masalah keuangan, sepertu  kartu kredit, utang, atau isu  finansial lainnya. Tujuannya adalah agar Anda dan pasangan dapat berdiskusi dalam suasana yang tenang dan santai.

Jangan segan untuk lebih dahulu mengutarakan opini Anda tentang satu topik keuangan dan ini akan mendorong pasangan melakukan hal yang sama. Jika hubungan Anda dan pasangan adalah prioritas utama, kata Chatzky, maka Anda berdua pasti bersedia untuk negosiasi.
""Bagikan perasaan, pengalaman, dan harapan Anda tentang uang. Diskusikan bagaimana orang tua Anda menangani masalah finansial, apa artinya itu bagi Anda saat dewasa, dan bagaimana mengurus keuangan dalam hubungan-hubungan terdahulu,"" jelas Chatzky.",2019-08-31
8,"Meski Baru Rp 866 Miliar, SMF Yakin Pendapatan 2019 Sesuai Target","22/07/2019, 15:55 WIB","Direktur Utama PT Sarana Multigriya Finansial (Persero) atau  SMF Ananta Wiyogo optimistis target pendapatan 2019 dapat terealisasi, kendati pada Semester I baru mencetak Rp 866 miliar dari target Rp 1,767 triliun.
Terlebih, hingga akhir tahun ini, kondisi bisnis sangat menantang (challenging). Salah satu tantangan yang harus dihadapi dengan langkah strategis adalah tendensi penurunan suku bunga Bank Indonesia (BI).
""Ini kinerja hingga 30 Juni, masih sekitar 48-49 persen dari target. Tapi ya kami harus yakin, pendapatan bisa mencapai target,"" ujar Ananta menjawab Kompas.com, usai paparan Kinerja SMF Semester I-2019, di Jakarta, Senin (22/7/2019).
Ananta menuturkan, SMF adalah special mission vehicle (SMV) pemerintah bukanlah seperti perusahaan terbuka lainnya yang mengejar keuntungan komersial semata.
Namun demikian, SMF berupaya kompetitif, setidaknya bisa memasarkan produk yang dapat menguntungkan perseroan, kendati dengan marjin sedikit.

""Jadi, jika dinamika pasar terdapat tendensi penurunan suku bunga, kami masih bisa bersaing. Tapi tetap harus sound, sustain, dan safe,"" imbuh Ananta.
Selain tendensi penurunan suku bunga, tantangan lainnya adalah dana dari pasar modal yang diperebutkan oleh tidak hanya SMF, melainkan juga lembaga lainnya. Termasuk pemerintah.
""Dana di pasar modal kita kan terbatas, tidak seperti di luar. Nah, bagaimana SMF harus inovatif melakukan terobosan-terobosan baru, juga menciptakan model bisnis baru,"" sambung dia.
Model bisnis baru yang tengah disiapkan adalah warehousing  yakni langkah antara dalam transaksi kewajiban hutang yang dijamin atau collateralized debt obligation (CDO) yang melibatkan pembelian pinjaman atau obligasi yang akan berfungsi sebagai jaminan dalam transaksi CDO dimaksud.
Periode warehousing biasanya berlangsung selama tiga bulan, dan berakhir setelah penutupan transaksi CDO. Model bisnis ini akan dilaksanakan sebelum akhir 2019.",2019-08-31
9,"Akhir Juli, SMF Lansir EBA Ritel Milenial","22/07/2019, 17:24 WIB","PT Sarana Multigriya Finansial (Persero)  SMF berencana menerbitkan Efek Beragun Aset (EBA) Ritel yang menyasar investor muda atau kalangan milenial pada akhir Juli 2019.
Direktur Utama SMF Ananta Wiyogo mengatakan, peluncuran  EBA Ritel Milenial ini merupakan bagian dari upaya diversifikasi produk investasi yang ditawarkan SMF kepada masyarakat.
Selama ini, SMF sudah memiliki EBA Surat Partisipasi (SP) yang lebih menyasar kalangan investor korporasi, dan individu umum.
""EBA Ritel khusus milenial ini akhir Juli kita launching dengan bunga 8,6 persen. Milenial bisa berpartisipasi dengan angka minimal Rp 100.000,"" ungkap Ananta menjawab Kompas.com, Senin (22/7/2019).Menurut Ananta, produk ini lebih secure dibanding retail bond, karena ada underlaying dari perbankan. 

Sejatinya, kata Ananta, program EBA Ritel sudah ada sejak Agustus 2018 dengan menggandeng BNI Securities dalam bentuk platform daring atau online.
EBA Ritel Milenial, dirancang sebagai alternatif instrumen investasi dengan return lebih kompetitif dibanding saham, obligasi atau reksa dana.
Berkolaborasi dengan PT BNI Sekuritas, SMF menghadirkan transaksi EBA Ritel Milenial melalui mekanisme perdagangan sekunder.
Ananta menjelaskan, EBA Ritel Milenial serupa dengan produk EBA-SP Ritel yang dilansir 8 Agustus 2018 lalu, yang merupakan produk investasi pendapatan tetap (fixed income) yang aman dengan likuiditas instrumen investasi yang cukup tinggi.
Penyelesaian (settlement) transaksi pembelian maupun penjualan produk investasi EBA-SP Ritel ini adalah T+1, sehingga nasabah dapat segera melakukan instruksi penarikan dana hasil penjualan setelah jatuh tempo settlement transaksi penjualan.

Sebelumnya EBA-SP banyak dimiliki oleh investor institusi seperti Dana Pensiun (Dapen), Asuransi, dan lainnya.
Peluncuran EBA Ritel Milenial ini merupakan upaya untuk memperluas dan mengembangkan investor base , yaitu para investor potensial seperti generasi milenial dan masyarakat lainnya yang ingin berinvestasi.  
""Pendapatan jangan dihabiskan untuk jalan-jalan saja, tapi juga harus investasi. Nanti ketika sudah waktunya tidak bekerja lagi, milenial masih ada pendapatan dari investasi EBA Ritel ini,"" tuntas Ananta.",2019-08-31
