link,judul,tanggal,kategori
https://megapolitan.kompas.com/read/2019/11/26/20512841/cerita-penyandang-disabilitas-yang-terperosok-di-peron-stasiun-cikini,Cerita Penyandang Disabilitas yang Terperosok di Peron Stasiun Cikini,"26/11/2019, 20:51 WIB",NEWS
https://regional.kompas.com/read/2019/11/26/20510431/korban-banjir-dan-longsor-solok-selatan-mulai-terserang-penyakit,Korban Banjir dan Longsor Solok Selatan Mulai Terserang Penyakit,"26/11/2019, 20:51 WIB",NEWS
https://lifestyle.kompas.com/read/2019/11/26/204857120/manfaat-keong-darat-untuk-sembuhkan-luka,Manfaat Keong Darat untuk Sembuhkan Luka,"26/11/2019, 20:48 WIB",LIFESTYLE
https://nasional.kompas.com/read/2019/11/26/20422711/investigasi-wn-jepang-yang-disebut-lompat-dari-apartemen-polisi-periksa-3,"Investigasi WN Jepang yang Disebut Lompat dari Apartemen, Polisi Periksa 3 Saksi","26/11/2019, 20:42 WIB",NEWS
https://money.kompas.com/read/2019/11/26/204218826/imei-diberlakukan-pedagang-ponsel-memperkirakan-akan-rugi-50-persen,"IMEI DIberlakukan, Pedagang Ponsel Memperkirakan akan Rugi 50 Persen","26/11/2019, 20:42 WIB",MONEY
https://bola.kompas.com/read/2019/11/26/20420088/bhayangkara-vs-arema-makan-konate-dan-alfin-absen,"Bhayangkara Vs Arema, Makan Konate dan Alfin Absen","26/11/2019, 20:42 WIB",BOLA
https://regional.kompas.com/read/2019/11/26/20415821/25000-keluarga-di-sulawesi-utara-belum-nikmati-listrik,25.000 Keluarga di Sulawesi Utara Belum Nikmati Listrik,"26/11/2019, 20:41 WIB",NEWS
https://www.kompas.com/hype/read/2019/11/26/204146966/kepada-para-perempuan-korban-kekerasan-hannah-al-rashid-lo-enggak-sendirian,"Kepada Para Perempuan Korban Kekerasan, Hannah Al Rashid: Lo Enggak Sendirian!","26/11/2019, 20:41 WIB",HYPE
https://nasional.kompas.com/read/2019/11/26/20402401/moeldoko-sebut-usulan-penambahan-masa-jabatan-presiden-bukan-dari-istana,Moeldoko Sebut Usulan Penambahan Masa Jabatan Presiden Bukan dari Istana,"26/11/2019, 20:40 WIB",NEWS
https://nasional.kompas.com/read/2019/11/26/20400101/bamsoet-wacana-masa-jabatan-presiden-tiga-periode-bukan-dari-mpr,Bamsoet: Wacana Masa Jabatan Presiden Tiga Periode Bukan dari MPR!,"26/11/2019, 20:40 WIB",NEWS
https://regional.kompas.com/read/2019/11/26/20381521/bunga-bangkai-tumbuh-di-pemukiman-padat-penduduk-kota-bandung,Bunga Bangkai Tumbuh di Pemukiman Padat Penduduk Kota Bandung,"26/11/2019, 20:38 WIB",NEWS
https://nasional.kompas.com/read/2019/11/26/20355671/blangko-e-ktp-kurang-mendagri-sebut-itu-tumpahan-masalah,"Blangko E-KTP Kurang, Mendagri Sebut Itu Tumpahan Masalah","26/11/2019, 20:35 WIB",NEWS
https://www.kompas.com/hype/read/2019/11/26/203131866/agnez-mo-posting-dukungan-warganet-usai-tuai-kontroversi-soal-darah,Agnez Mo Posting Dukungan Warganet Usai Tuai Kontroversi soal Darah Indonesia,"26/11/2019, 20:31 WIB",HYPE
https://www.kompas.com/hype/read/2019/11/26/203019166/pemeran-serial-nkcthi-berbagi-kisah-selama-syuting-rachel-amanda-cuma-6,"Pemeran Serial NKCTHI Berbagi Kisah Selama Syuting, Rachel Amanda: Cuma 6 Hari","26/11/2019, 20:30 WIB",HYPE
